Kode,Level,Uraian,UraianPath,SearchText,parent_kode,grandparent_kode
000.1.4,tersier,penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.4: penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,umum ketatausahaan dan kerumahtanggaan penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,000.1,000
000.1.5,tersier,rapat pimpinan antara lain notula atau risalah rapat,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.5: rapat pimpinan antara lain notula atau risalah rapat,umum ketatausahaan dan kerumahtanggaan rapat pimpinan antara lain notula atau risalah rapat,000.1,000
000.1.6,tersier,penyediaan konsumsi,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.6: penyediaan konsumsi,umum ketatausahaan dan kerumahtanggaan penyediaan konsumsi,000.1,000
000.1.7,tersier,pengurusan kendaraan dinas,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.7: pengurusan kendaraan dinas,umum ketatausahaan dan kerumahtanggaan pengurusan kendaraan dinas,000.1,000
000.1.7.1,kuartier,pengurusan surat surat kendaraan dinas,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.7: pengurusan kendaraan dinas > 000.1.7.1: pengurusan surat surat kendaraan dinas,umum ketatausahaan dan kerumahtanggaan pengurusan kendaraan dinas pengurusan surat surat kendaraan dinas,000.1.7,000.1
000.1.7.2,kuartier,pemeliharaan dan perbaikan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.7: pengurusan kendaraan dinas > 000.1.7.2: pemeliharaan dan perbaikan,umum ketatausahaan dan kerumahtanggaan pengurusan kendaraan dinas pemeliharaan dan perbaikan,000.1.7,000.1
000.1.7.3,kuartier,pengurusan kehilangan dan masalah kendaraan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.7: pengurusan kendaraan dinas > 000.1.7.3: pengurusan kehilangan dan masalah kendaraan,umum ketatausahaan dan kerumahtanggaan pengurusan kendaraan dinas pengurusan kehilangan dan masalah kendaraan,000.1.7,000.1
000.1.8,tersier,pemeliharaan gedung taman dan peralatan kantor,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor,000.1,000
000.1.8.1,kuartier,pertamanan atau landscape,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor > 000.1.8.1: pertamanan atau landscape,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor pertamanan atau landscape,000.1.8,000.1
000.1.8.2,kuartier,penghijauan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor > 000.1.8.2: penghijauan,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor penghijauan,000.1.8,000.1
000.1.8.3,kuartier,perbaikan gedung,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor > 000.1.8.3: perbaikan gedung,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor perbaikan gedung,000.1.8,000.1
000.1.8.4,kuartier,perbaikan peralatan kantor,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor > 000.1.8.4: perbaikan peralatan kantor,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor perbaikan peralatan kantor,000.1.8,000.1
000.1.8.5,kuartier,perbaikan rumah dinas atau wisma,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor > 000.1.8.5: perbaikan rumah dinas atau wisma,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor perbaikan rumah dinas atau wisma,000.1.8,000.1
000.1.8.6,kuartier,kebersihan gedung dan taman,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.8: pemeliharaan gedung taman dan peralatan kantor > 000.1.8.6: kebersihan gedung dan taman,umum ketatausahaan dan kerumahtanggaan pemeliharaan gedung taman dan peralatan kantor kebersihan gedung dan taman,000.1.8,000.1
000.1.9,tersier,pengelolaan jaringan listrik air telepon dan komputer,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.9: pengelolaan jaringan listrik air telepon dan komputer,umum ketatausahaan dan kerumahtanggaan pengelolaan jaringan listrik air telepon dan komputer,000.1,000
000.1.9.1,kuartier,perbaikan atau pemeliharaan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.9: pengelolaan jaringan listrik air telepon dan komputer > 000.1.9.1: perbaikan atau pemeliharaan,umum ketatausahaan dan kerumahtanggaan pengelolaan jaringan listrik air telepon dan komputer perbaikan atau pemeliharaan,000.1.9,000.1
000.1.9.2,kuartier,pemasangan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.9: pengelolaan jaringan listrik air telepon dan komputer > 000.1.9.2: pemasangan,umum ketatausahaan dan kerumahtanggaan pengelolaan jaringan listrik air telepon dan komputer pemasangan,000.1.9,000.1
000.1.10,tersier,ketertiban dan keamanan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.10: ketertiban dan keamanan,umum ketatausahaan dan kerumahtanggaan ketertiban dan keamanan,000.1,000
000.1.10.1,kuartier,pengamanan penjagaan dan pengawalan terhadap pejabat kantor dan rumah dinas,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.10: ketertiban dan keamanan > 000.1.10.1: pengamanan penjagaan dan pengawalan terhadap pejabat kantor dan rumah dinas,umum ketatausahaan dan kerumahtanggaan ketertiban dan keamanan pengamanan penjagaan dan pengawalan terhadap pejabat kantor dan rumah dinas,000.1.10,000.1
000.1.10.2,kuartier,laporan ketertiban dan keamanan,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.10: ketertiban dan keamanan > 000.1.10.2: laporan ketertiban dan keamanan,umum ketatausahaan dan kerumahtanggaan ketertiban dan keamanan laporan ketertiban dan keamanan,000.1.10,000.1
000.1.11,tersier,administrasi pengelolaan parkir,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.11: administrasi pengelolaan parkir,umum ketatausahaan dan kerumahtanggaan administrasi pengelolaan parkir,000.1,000
000.1.12,tersier,administrasi pakaian dinas pegawai satpam petugas kebersihan dan pegawai lainnya,000: umum > 000.1: ketatausahaan dan kerumahtanggaan > 000.1.12: administrasi pakaian dinas pegawai satpam petugas kebersihan dan pegawai lainnya,umum ketatausahaan dan kerumahtanggaan administrasi pakaian dinas pegawai satpam petugas kebersihan dan pegawai lainnya,000.1,000
000.2,sekunder,perlengkapan,000: umum > 000.2: perlengkapan,umum perlengkapan,000,
000.2.1,tersier,inventarisasi dan penyimpanan,000: umum > 000.2: perlengkapan > 000.2.1: inventarisasi dan penyimpanan,umum perlengkapan inventarisasi dan penyimpanan,000.2,000
000.2.1.1,kuartier,data hasil inventarisasi dan penyimpanan,000: umum > 000.2: perlengkapan > 000.2.1: inventarisasi dan penyimpanan > 000.2.1.1: data hasil inventarisasi dan penyimpanan,umum perlengkapan inventarisasi dan penyimpanan data hasil inventarisasi dan penyimpanan,000.2.1,000.2
000.2.1.2,kuartier,laporan dan evaluasi inventarisasi dan penyimpanan,000: umum > 000.2: perlengkapan > 000.2.1: inventarisasi dan penyimpanan > 000.2.1.2: laporan dan evaluasi inventarisasi dan penyimpanan,umum perlengkapan inventarisasi dan penyimpanan laporan dan evaluasi inventarisasi dan penyimpanan,000.2.1,000.2
000.2.2,tersier,pemeliharaan peralatan kantor,000: umum > 000.2: perlengkapan > 000.2.2: pemeliharaan peralatan kantor,umum perlengkapan pemeliharaan peralatan kantor,000.2,000
000.2.2.1,kuartier,data hasil pemeliharaan kantor,000: umum > 000.2: perlengkapan > 000.2.2: pemeliharaan peralatan kantor > 000.2.2.1: data hasil pemeliharaan kantor,umum perlengkapan pemeliharaan peralatan kantor data hasil pemeliharaan kantor,000.2.2,000.2
000.2.2.2,kuartier,laporan dan evaluasi pemeliharaan kantor,000: umum > 000.2: perlengkapan > 000.2.2: pemeliharaan peralatan kantor > 000.2.2.2: laporan dan evaluasi pemeliharaan kantor,umum perlengkapan pemeliharaan peralatan kantor laporan dan evaluasi pemeliharaan kantor,000.2.2,000.2
000.2.3,tersier,distribusi,000: umum > 000.2: perlengkapan > 000.2.3: distribusi,umum perlengkapan distribusi,000.2,000
000.2.3.1,kuartier,barang habis pakai,000: umum > 000.2: perlengkapan > 000.2.3: distribusi > 000.2.3.1: barang habis pakai,umum perlengkapan distribusi barang habis pakai,000.2.3,000.2
000.2.3.2,kuartier,barang milik daerah,000: umum > 000.2: perlengkapan > 000.2.3: distribusi > 000.2.3.2: barang milik daerah,umum perlengkapan distribusi barang milik daerah,000.2.3,000.2
000.2.4,tersier,penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan,000: umum > 000.2: perlengkapan > 000.2.4: penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan,umum perlengkapan penghapusan barang milik daerah antara lain keputusan pembentukan tim berita acara penghapusan barang milik daerah daftar barang yang dihapuskan laporan hasil pelaksanaan penghapusan bmd termasuk didalamnya proses lelang penghapusan,000.2,000
000.2.5,tersier,pengelolaan database barang milik daerah,000: umum > 000.2: perlengkapan > 000.2.5: pengelolaan database barang milik daerah,umum perlengkapan pengelolaan database barang milik daerah,000.2,000
000.3,sekunder,pengadaan,000: umum > 000.3: pengadaan,umum pengadaan,000,
000.3.1,tersier,rencana pengadaan barang dan jasa antara lain identifikasi dan analisis kebutuhan barang jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja kak pengumuman rencana umum pengadaan,000: umum > 000.3: pengadaan > 000.3.1: rencana pengadaan barang dan jasa antara lain identifikasi dan analisis kebutuhan barang jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja kak pengumuman rencana umum pengadaan,umum pengadaan rencana pengadaan barang dan jasa antara lain identifikasi dan analisis kebutuhan barang jasa penyusunan dan penetapan rencana penganggaran pengadaan penetapan kebijakan umum penyusunan kerangka acuan kerja kak pengumuman rencana umum pengadaan,000.3,000
000.3.2,tersier,pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak,000: umum > 000.3: pengadaan > 000.3.2: pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak,umum pengadaan pengadaan langsung antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak,000.3,000
000.3.3,tersier,pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak,000: umum > 000.3: pengadaan > 000.3.3: pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak,umum pengadaan pengadaan tidak langsung lelang antara lain persiapan pemilihan penyedia pelaksanaan pemilihan penyedia penandatanganan kontrak pelaksanaan kontrak,000.3,000
000.3.4,tersier,swakelola antara lain perencanaan pelaksanaan dan evaluasi,000: umum > 000.3: pengadaan > 000.3.4: swakelola antara lain perencanaan pelaksanaan dan evaluasi,umum pengadaan swakelola antara lain perencanaan pelaksanaan dan evaluasi,000.3,000
000.3.5,tersier,pengolahan sistem informasi pengadaan antara lain data base pengguna sistem informasi pengadaan barang jasa data base kontrak data base pengadaan barang jasa,000: umum > 000.3: pengadaan > 000.3.5: pengolahan sistem informasi pengadaan antara lain data base pengguna sistem informasi pengadaan barang jasa data base kontrak data base pengadaan barang jasa,umum pengadaan pengolahan sistem informasi pengadaan antara lain data base pengguna sistem informasi pengadaan barang jasa data base kontrak data base pengadaan barang jasa,000.3,000
000.3.6,tersier,monitoring dan evaluasi antara lain laporan hasil monitoring laporan hasil evaluasi,000: umum > 000.3: pengadaan > 000.3.6: monitoring dan evaluasi antara lain laporan hasil monitoring laporan hasil evaluasi,umum pengadaan monitoring dan evaluasi antara lain laporan hasil monitoring laporan hasil evaluasi,000.3,000
000.4,sekunder,perpustakaan,000: umum > 000.4: perpustakaan,umum perpustakaan,000,
000.4.1,tersier,kebijakan di bidang perpustakaan yang dilakukan oleh pemerintah daerah,000: umum > 000.4: perpustakaan > 000.4.1: kebijakan di bidang perpustakaan yang dilakukan oleh pemerintah daerah,umum perpustakaan kebijakan di bidang perpustakaan yang dilakukan oleh pemerintah daerah,000.4,000
000.4.2,tersier,deposit bahan pustaka,000: umum > 000.4: perpustakaan > 000.4.2: deposit bahan pustaka,umum perpustakaan deposit bahan pustaka,000.4,000
000.4.2.1,kuartier,serah simpan karya cetak dan karya rekam,000: umum > 000.4: perpustakaan > 000.4.2: deposit bahan pustaka > 000.4.2.1: serah simpan karya cetak dan karya rekam,umum perpustakaan deposit bahan pustaka serah simpan karya cetak dan karya rekam,000.4.2,000.4
000.4.2.2,kuartier,pangkalan data penerbit dan pengusaha rekaman,000: umum > 000.4: perpustakaan > 000.4.2: deposit bahan pustaka > 000.4.2.2: pangkalan data penerbit dan pengusaha rekaman,umum perpustakaan deposit bahan pustaka pangkalan data penerbit dan pengusaha rekaman,000.4.2,000.4
000.4.2.3,kuartier,terbitan internasional dan regional,000: umum > 000.4: perpustakaan > 000.4.2: deposit bahan pustaka > 000.4.2.3: terbitan internasional dan regional,umum perpustakaan deposit bahan pustaka terbitan internasional dan regional,000.4.2,000.4
000.4.2.4,kuartier,pemantauan wajib serah simpan karya cetak dan karya rekam,000: umum > 000.4: perpustakaan > 000.4.2: deposit bahan pustaka > 000.4.2.4: pemantauan wajib serah simpan karya cetak dan karya rekam,umum perpustakaan deposit bahan pustaka pemantauan wajib serah simpan karya cetak dan karya rekam,000.4.2,000.4
000.4.2.5,kuartier,bibliografi dan katalog,000: umum > 000.4: perpustakaan > 000.4.2: deposit bahan pustaka > 000.4.2.5: bibliografi dan katalog,umum perpustakaan deposit bahan pustaka bibliografi dan katalog,000.4.2,000.4
000.4.3,tersier,koleksi pustaka,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka,umum perpustakaan koleksi pustaka,000.4,000
000.4.3.1,kuartier,pembelian,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.1: pembelian,umum perpustakaan koleksi pustaka pembelian,000.4.3,000.4
000.4.3.2,kuartier,hibah,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.2: hibah,umum perpustakaan koleksi pustaka hibah,000.4.3,000.4
000.4.3.3,kuartier,hadiah,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.3: hadiah,umum perpustakaan koleksi pustaka hadiah,000.4.3,000.4
000.4.3.4,kuartier,tukar menukar,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.4: tukar menukar,umum perpustakaan koleksi pustaka tukar menukar,000.4.3,000.4
000.4.3.5,kuartier,implementasi undang undang kckr,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.5: implementasi undang undang kckr,umum perpustakaan koleksi pustaka implementasi undang undang kckr,000.4.3,000.4
000.4.3.6,kuartier,terbitan internal,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.6: terbitan internal,umum perpustakaan koleksi pustaka terbitan internal,000.4.3,000.4
000.4.3.7,kuartier,pendistribusian bahan pustaka surplus,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.7: pendistribusian bahan pustaka surplus,umum perpustakaan koleksi pustaka pendistribusian bahan pustaka surplus,000.4.3,000.4
000.4.3.8,kuartier,inventarisasi koleksi buku induk,000: umum > 000.4: perpustakaan > 000.4.3: koleksi pustaka > 000.4.3.8: inventarisasi koleksi buku induk,umum perpustakaan koleksi pustaka inventarisasi koleksi buku induk,000.4.3,000.4
000.4.4,tersier,pengolahan bahan pustaka,000: umum > 000.4: perpustakaan > 000.4.4: pengolahan bahan pustaka,umum perpustakaan pengolahan bahan pustaka,000.4,000
000.4.5,tersier,pangkalan data katalog koleksi,000: umum > 000.4: perpustakaan > 000.4.5: pangkalan data katalog koleksi,umum perpustakaan pangkalan data katalog koleksi,000.4,000
000.4.6,tersier,layanan perpustakaan,000: umum > 000.4: perpustakaan > 000.4.6: layanan perpustakaan,umum perpustakaan layanan perpustakaan,000.4,000
000.4.6.1,kuartier,keanggotaan,000: umum > 000.4: perpustakaan > 000.4.6: layanan perpustakaan > 000.4.6.1: keanggotaan,umum perpustakaan layanan perpustakaan keanggotaan,000.4.6,000.4
000.4.6.2,kuartier,peminjaman,000: umum > 000.4: perpustakaan > 000.4.6: layanan perpustakaan > 000.4.6.2: peminjaman,umum perpustakaan layanan perpustakaan peminjaman,000.4.6,000.4
000.4.6.3,kuartier,pengembangan gemar baca,000: umum > 000.4: perpustakaan > 000.4.6: layanan perpustakaan > 000.4.6.3: pengembangan gemar baca,umum perpustakaan layanan perpustakaan pengembangan gemar baca,000.4.6,000.4
000.4.7,tersier,kerjasama perpustakaan,000: umum > 000.4: perpustakaan > 000.4.7: kerjasama perpustakaan,umum perpustakaan kerjasama perpustakaan,000.4,000
000.4.7.1,kuartier,mou,000: umum > 000.4: perpustakaan > 000.4.7: kerjasama perpustakaan > 000.4.7.1: mou,umum perpustakaan kerjasama perpustakaan mou,000.4.7,000.4
000.4.7.2,kuartier,perjanjian kerjasama,000: umum > 000.4: perpustakaan > 000.4.7: kerjasama perpustakaan > 000.4.7.2: perjanjian kerjasama,umum perpustakaan kerjasama perpustakaan perjanjian kerjasama,000.4.7,000.4
000.4.7.3,kuartier,partisipasi organisasi profesi dan kerjasama internasional,000: umum > 000.4: perpustakaan > 000.4.7: kerjasama perpustakaan > 000.4.7.3: partisipasi organisasi profesi dan kerjasama internasional,umum perpustakaan kerjasama perpustakaan partisipasi organisasi profesi dan kerjasama internasional,000.4.7,000.4
000.4.8,tersier,pengembangan implementasi teknologi informasi perpustakaan,000: umum > 000.4: perpustakaan > 000.4.8: pengembangan implementasi teknologi informasi perpustakaan,umum perpustakaan pengembangan implementasi teknologi informasi perpustakaan,000.4,000
000.4.8.1,kuartier,pengembangan situs web,000: umum > 000.4: perpustakaan > 000.4.8: pengembangan implementasi teknologi informasi perpustakaan > 000.4.8.1: pengembangan situs web,umum perpustakaan pengembangan implementasi teknologi informasi perpustakaan pengembangan situs web,000.4.8,000.4
000.4.8.2,kuartier,pengembangan kemas ulang informasi multimedia,000: umum > 000.4: perpustakaan > 000.4.8: pengembangan implementasi teknologi informasi perpustakaan > 000.4.8.2: pengembangan kemas ulang informasi multimedia,umum perpustakaan pengembangan implementasi teknologi informasi perpustakaan pengembangan kemas ulang informasi multimedia,000.4.8,000.4
000.4.8.3,kuartier,pengembangan program aplikasi perpustakaan,000: umum > 000.4: perpustakaan > 000.4.8: pengembangan implementasi teknologi informasi perpustakaan > 000.4.8.3: pengembangan program aplikasi perpustakaan,umum perpustakaan pengembangan implementasi teknologi informasi perpustakaan pengembangan program aplikasi perpustakaan,000.4.8,000.4
000.4.8.4,kuartier,pengembangan pangkalan data kepustakaan digital,000: umum > 000.4: perpustakaan > 000.4.8: pengembangan implementasi teknologi informasi perpustakaan > 000.4.8.4: pengembangan pangkalan data kepustakaan digital,umum perpustakaan pengembangan implementasi teknologi informasi perpustakaan pengembangan pangkalan data kepustakaan digital,000.4.8,000.4
000.4.9,tersier,pangkalan data layanan perpustakaan,000: umum > 000.4: perpustakaan > 000.4.9: pangkalan data layanan perpustakaan,umum perpustakaan pangkalan data layanan perpustakaan,000.4,000
000.4.10,tersier,konservasi,000: umum > 000.4: perpustakaan > 000.4.10: konservasi,umum perpustakaan konservasi,000.4,000
000.4.10.1,kuartier,perawatan bahan perpustakaan,000: umum > 000.4: perpustakaan > 000.4.10: konservasi > 000.4.10.1: perawatan bahan perpustakaan,umum perpustakaan konservasi perawatan bahan perpustakaan,000.4.10,000.4
000.4.10.2,kuartier,perbaikan bahan perpustakaan,000: umum > 000.4: perpustakaan > 000.4.10: konservasi > 000.4.10.2: perbaikan bahan perpustakaan,umum perpustakaan konservasi perbaikan bahan perpustakaan,000.4.10,000.4
000.4.10.3,kuartier,penjilidan bahan perpustakaan,000: umum > 000.4: perpustakaan > 000.4.10: konservasi > 000.4.10.3: penjilidan bahan perpustakaan,umum perpustakaan konservasi penjilidan bahan perpustakaan,000.4.10,000.4
000.4.11,tersier,reprografi mikrofilm reproduksi foto,000: umum > 000.4: perpustakaan > 000.4.11: reprografi mikrofilm reproduksi foto,umum perpustakaan reprografi mikrofilm reproduksi foto,000.4,000
000.4.12,tersier,transformasi digital,000: umum > 000.4: perpustakaan > 000.4.12: transformasi digital,umum perpustakaan transformasi digital,000.4,000
000.4.13,tersier,kurasi digital,000: umum > 000.4: perpustakaan > 000.4.13: kurasi digital,umum perpustakaan kurasi digital,000.4,000
000.4.14,tersier,pengembangan perpustakaan,000: umum > 000.4: perpustakaan > 000.4.14: pengembangan perpustakaan,umum perpustakaan pengembangan perpustakaan,000.4,000
000.4.14.1,kuartier,perpustakaan umum,000: umum > 000.4: perpustakaan > 000.4.14: pengembangan perpustakaan > 000.4.14.1: perpustakaan umum,umum perpustakaan pengembangan perpustakaan perpustakaan umum,000.4.14,000.4
000.4.14.2,kuartier,perpustakaan khusus,000: umum > 000.4: perpustakaan > 000.4.14: pengembangan perpustakaan > 000.4.14.2: perpustakaan khusus,umum perpustakaan pengembangan perpustakaan perpustakaan khusus,000.4.14,000.4
000.4.14.3,kuartier,perpustakaan sekolah,000: umum > 000.4: perpustakaan > 000.4.14: pengembangan perpustakaan > 000.4.14.3: perpustakaan sekolah,umum perpustakaan pengembangan perpustakaan perpustakaan sekolah,000.4.14,000.4
000.4.14.4,kuartier,perpustakaan perguruan tinggi,000: umum > 000.4: perpustakaan > 000.4.14: pengembangan perpustakaan > 000.4.14.4: perpustakaan perguruan tinggi,umum perpustakaan pengembangan perpustakaan perpustakaan perguruan tinggi,000.4.14,000.4
000.5,sekunder,kearsipan,000: umum > 000.5: kearsipan,umum kearsipan,000,
000.5.1,tersier,kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah,000: umum > 000.5: kearsipan > 000.5.1: kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah,umum kearsipan kebijakan di bidang kearsipan yang dilakukan oleh pemerintah daerah,000.5,000
000.5.2,tersier,pembinaan kearsipan,000: umum > 000.5: kearsipan > 000.5.2: pembinaan kearsipan,umum kearsipan pembinaan kearsipan,000.5,000
000.5.2.1,kuartier,pengembangan profesi arsiparis antara lain formasi jabatan arsiparis analisis kebutuhan arsiparis,000: umum > 000.5: kearsipan > 000.5.2: pembinaan kearsipan > 000.5.2.1: pengembangan profesi arsiparis antara lain formasi jabatan arsiparis analisis kebutuhan arsiparis,umum kearsipan pembinaan kearsipan pengembangan profesi arsiparis antara lain formasi jabatan arsiparis analisis kebutuhan arsiparis,000.5.2,000.5
000.5.2.2,kuartier,bimbingan konsultasi arsiparis,000: umum > 000.5: kearsipan > 000.5.2: pembinaan kearsipan > 000.5.2.2: bimbingan konsultasi arsiparis,umum kearsipan pembinaan kearsipan bimbingan konsultasi arsiparis,000.5.2,000.5
000.5.2.3,kuartier,penilaian arsiparis,000: umum > 000.5: kearsipan > 000.5.2: pembinaan kearsipan > 000.5.2.3: penilaian arsiparis,umum kearsipan pembinaan kearsipan penilaian arsiparis,000.5.2,000.5
000.5.2.4,kuartier,pemilihan arsiparis teladan antara lain berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan,000: umum > 000.5: kearsipan > 000.5.2: pembinaan kearsipan > 000.5.2.4: pemilihan arsiparis teladan antara lain berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan,umum kearsipan pembinaan kearsipan pemilihan arsiparis teladan antara lain berkas penyelenggaraan pemilihan arsiparis teladan berkas penetapan arsiparis teladan,000.5.2,000.5
000.5.2.5,kuartier,data base arsiparis,000: umum > 000.5: kearsipan > 000.5.2: pembinaan kearsipan > 000.5.2.5: data base arsiparis,umum kearsipan pembinaan kearsipan data base arsiparis,000.5.2,000.5
